country,iso_code,latest_date,deaths_pm_latest
Albania,ALB,2021-10-01,941.546
Algeria,DZA,2021-10-01,130.333
Argentina,ARG,2021-10-01,2526.541
Australia,AUS,2021-10-01,51.225
Austria,AUT,2021-10-01,1217.949
Bangladesh,BGD,2021-10-01,165.547
Belgium,BEL,2021-10-01,2201.794
Benin,BEN,2021-10-01,12.77
Bosnia and Herzegovina,BIH,2021-10-01,3258.812
Brazil,BRA,2021-10-01,2790.997
Bulgaria,BGR,2021-10-01,3040.459
Burkina Faso,BFA,2021-10-01,8.559
Canada,CAN,2021-10-01,734.845
Chile,CHL,2021-10-01,1950.619
China,CHN,2021-10-01,3.21
Colombia,COL,2021-10-01,2464.331
Costa Rica,CRI,2021-10-01,1247.895
Croatia,HRV,2021-10-01,2119.237
Denmark,DNK,2021-10-01,457.743
Djibouti,DJI,2021-10-01,166.634
Dominican Republic,DOM,2021-10-01,369.646
Ecuador,ECU,2021-10-01,1831.459
Egypt,EGY,2021-10-01,166.577
El Salvador,SLV,2021-10-01,497.814
Estonia,EST,2021-10-01,1024.006
Ethiopia,ETH,2021-10-01,47.762
Fiji,FJI,2021-10-01,698.86
Gambia,GMB,2021-10-01,135.91
Georgia,GEO,2021-10-01,2255.405
Ghana,GHA,2021-10-01,36.43
Greece,GRC,2021-10-01,1432.877
Haiti,HTI,2021-10-01,52.939
Hungary,HUN,2021-10-01,3134.575
Iceland,ISL,2021-10-01,96.109
India,IND,2021-10-01,321.925
Indonesia,IDN,2021-10-01,513.913
Iran,IRN,2021-10-01,1419.085
Ireland,IRL,2021-10-01,1053.402
Israel,ISR,2021-10-01,835.863
Italy,ITA,2021-10-01,2169.596
Kazakhstan,KAZ,2021-10-01,837.433
Kenya,KEN,2021-10-01,93.261
Kyrgyzstan,KGZ,2021-10-01,393.311
Laos,LAO,2021-10-01,2.71
Latvia,LVA,2021-10-01,1457.47
Liberia,LBR,2021-10-01,55.21
Lithuania,LTU,2021-10-01,1864.036
Luxembourg,LUX,2021-10-01,1315.346
Malawi,MWI,2021-10-01,116.146
Malaysia,MYS,2021-10-01,807.171
Malta,MLT,2021-10-01,887.425
Mauritius,MUS,2021-10-01,65.964
Mexico,MEX,2021-10-01,2133.988
Moldova,MDA,2021-10-01,1690.596
Mongolia,MNG,2021-10-01,388.973
Morocco,MAR,2021-10-01,382.65
Mozambique,MOZ,2021-10-01,59.634
Myanmar,MMR,2021-10-01,324.581
Nepal,NPL,2021-10-01,375.671
Niger,NER,2021-10-01,8.078
Norway,NOR,2021-10-01,157.53
Pakistan,PAK,2021-10-01,123.584
Panama,PAN,2021-10-01,1650.089
Paraguay,PRY,2021-10-01,2243.602
Portugal,PRT,2021-10-01,1768.208
Romania,ROU,2021-10-01,1945.339
Russia,RUS,2021-10-01,1401.009
Seychelles,SYC,2021-10-01,1132.343
Slovakia,SVK,2021-10-01,2316.359
South Africa,ZAF,2021-10-01,1460.728
South Korea,KOR,2021-10-01,48.806
Spain,ESP,2021-10-01,1849.665
Sri Lanka,LKA,2021-10-01,603.052
Sweden,SWE,2021-10-01,1463.363
Tanzania,TZA,2021-10-01,11.691
Thailand,THA,2021-10-01,240.883
Timor-Leste,TLS,2021-10-01,87.062
Togo,TGO,2021-10-01,27.01
Tunisia,TUN,2021-10-01,2086.251
Turkey,TUR,2021-10-01,755.667
Uganda,UGA,2021-10-01,67.037
Ukraine,UKR,2021-10-01,1384.136
United Kingdom,GBR,2021-10-01,2011.095
United States,USA,2021-10-01,2107.742
Uruguay,URY,2021-10-01,1737.657
Vietnam,VNM,2021-10-01,197.996
Yemen,YEM,2021-10-01,56.706
Zambia,ZMB,2021-10-01,192.858
Zimbabwe,ZWE,2021-10-01,306.384
