iso_code,polygon_name,status,reason,hdi_2019,hdi_category
AFG,Afghanistan,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ASM,American Samoa,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
AND,Andorra,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
AGO,Angola,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
AIA,Anguilla,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ATA,Antarctica,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ATG,Antigua and Barb.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ARM,Armenia,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ABW,Aruba,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ATC,Ashmore and Cartier Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
AZE,Azerbaijan,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BHS,Bahamas,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BHR,Bahrain,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BRB,Barbados,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BLR,Belarus,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BLZ,Belize,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BMU,Bermuda,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BTN,Bhutan,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BOL,Bolivia,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BWA,Botswana,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
IOT,Br. Indian Ocean Ter.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
VGB,British Virgin Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BRN,Brunei,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
BDI,Burundi,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CPV,Cabo Verde,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
KHM,Cambodia,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CMR,Cameroon,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CYM,Cayman Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CAF,Central African Rep.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
TCD,Chad,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
COM,Comoros,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
COG,Congo,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
COK,Cook Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CUB,Cuba,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CUW,Curaçao,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CYP,Cyprus,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CZE,Czechia,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
CIV,Côte d'Ivoire,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
COD,Dem. Rep. Congo,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
DMA,Dominica,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
GNQ,Eq. Guinea,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ERI,Eritrea,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
FRO,Faeroe Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
FLK,Falkland Is.,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
FIN,Finland,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
PYF,Fr. Polynesia,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
ATF,Fr. S. Antarctic Lands,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
FRA,France,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
GAB,Gabon,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
DEU,Germany,Missing (grey),Not present in dataset (or not convertible via dataset location names),NA,NA
