iso_code,country,reason,hover
AFG,Afghanistan,No matching deaths-per-million record in dataset,<b>Afghanistan</b><br>ISO3: AFG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ASM,American Samoa,No matching deaths-per-million record in dataset,<b>American Samoa</b><br>ISO3: ASM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
AND,Andorra,No matching deaths-per-million record in dataset,<b>Andorra</b><br>ISO3: AND<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
AGO,Angola,No matching deaths-per-million record in dataset,<b>Angola</b><br>ISO3: AGO<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
AIA,Anguilla,No matching deaths-per-million record in dataset,<b>Anguilla</b><br>ISO3: AIA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ATA,Antarctica,No matching deaths-per-million record in dataset,<b>Antarctica</b><br>ISO3: ATA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ATG,Antigua and Barb.,No matching deaths-per-million record in dataset,<b>Antigua and Barb.</b><br>ISO3: ATG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ARM,Armenia,No matching deaths-per-million record in dataset,<b>Armenia</b><br>ISO3: ARM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ABW,Aruba,No matching deaths-per-million record in dataset,<b>Aruba</b><br>ISO3: ABW<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ATC,Ashmore and Cartier Is.,No matching deaths-per-million record in dataset,<b>Ashmore and Cartier Is.</b><br>ISO3: ATC<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
AZE,Azerbaijan,No matching deaths-per-million record in dataset,<b>Azerbaijan</b><br>ISO3: AZE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BHS,Bahamas,No matching deaths-per-million record in dataset,<b>Bahamas</b><br>ISO3: BHS<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
